# bounds,48,48,672,672
# wall,48,48,672,48
# wall,672,48,672,672
# wall,672,672,48,672
# wall,48,672,48,48
ball_id,x,y,r,g,b,radius
132,254,182,180,180,180,6
133,266,182,180,180,180,6
134,278,182,180,180,180,6
135,290,182,180,180,180,6
136,302,182,180,180,180,6
137,314,182,180,180,180,6
138,326,182,180,180,180,6
139,338,182,180,180,180,6
140,110,194,180,180,180,6
141,122,194,180,180,180,6
142,134,194,180,180,180,6
143,146,194,180,180,180,6
144,158,194,180,180,180,6
145,170,194,180,180,180,6
146,182,194,180,180,180,6
147,194,194,180,180,180,6
148,206,194,180,180,180,6
149,218,194,180,180,180,6
150,230,194,180,180,180,6
151,242,194,180,180,180,6
152,254,194,180,180,180,6
153,266,194,180,180,180,6
154,278,194,180,180,180,6
155,290,194,180,180,180,6
156,302,194,180,180,180,6
157,314,194,180,180,180,6
158,326,194,180,180,180,6
159,338,194,180,180,180,6
160,110,206,180,180,180,6
161,122,206,180,180,180,6
162,134,206,180,180,180,6
163,146,206,180,180,180,6
164,158,206,180,180,180,6
165,170,206,180,180,180,6
166,182,206,180,180,180,6
167,194,206,180,180,180,6
168,206,206,180,180,180,6
169,218,206,180,180,180,6
170,230,206,180,180,180,6
171,242,206,180,180,180,6
172,254,206,180,180,180,6
173,266,206,180,180,180,6
174,278,206,180,180,180,6
175,290,206,180,180,180,6
176,302,206,180,180,180,6
177,314,206,180,180,180,6
178,326,206,180,180,180,6
179,338,206,180,180,180,6
180,110,218,180,180,180,6
181,122,218,180,180,180,6
182,134,218,180,180,180,6
183,146,218,180,180,180,6
184,158,218,180,180,180,6
185,170,218,180,180,180,6
186,182,218,180,180,180,6
187,194,218,180,180,180,6
188,206,218,180,180,180,6
189,218,218,180,180,180,6
190,230,218,180,180,180,6
191,242,218,180,180,180,6
192,254,218,180,180,180,6
193,266,218,180,180,180,6
194,278,218,180,180,180,6
195,290,218,180,180,180,6
196,302,218,180,180,180,6
197,314,218,180,180,180,6
198,326,218,180,180,180,6
199,338,218,180,180,180,6
200,110,230,180,180,180,6
201,122,230,180,180,180,6
202,134,230,180,180,180,6
203,146,230,180,180,180,6
204,158,230,180,180,180,6
205,170,230,180,180,180,6
206,182,230,180,180,180,6
207,194,230,180,180,180,6
208,206,230,180,180,180,6
209,218,230,180,180,180,6
210,230,230,180,180,180,6
211,242,230,180,180,180,6
212,254,230,180,180,180,6
213,266,230,180,180,180,6
214,278,230,180,180,180,6
215,290,230,180,180,180,6
216,302,230,180,180,180,6
217,314,230,180,180,180,6
218,326,230,180,180,180,6
219,338,230,180,180,180,6
220,110,242,180,180,180,6
221,122,242,180,180,180,6
222,134,242,180,180,180,6
223,146,242,180,180,180,6
224,158,242,180,180,180,6
225,170,242,180,180,180,6
226,182,242,180,180,180,6
227,194,242,180,180,180,6
228,206,242,180,180,180,6
229,218,242,180,180,180,6
230,230,242,180,180,180,6
231,242,242,180,180,180,6
232,254,242,180,180,180,6
233,266,242,180,180,180,6
234,278,242,180,180,180,6
235,290,242,180,180,180,6
236,302,242,180,180,180,6
237,314,242,180,180,180,6
238,326,242,180,180,180,6
239,338,242,180,180,180,6
