# bounds,48,48,672,672
# wall,48,48,672,48
# wall,672,48,672,672
# wall,672,672,48,672
# wall,48,672,48,48
ball_id,x,y,previous_x,previous_y,spawn_frame,vx,vy,r,g,b,radius
168,206,206,206,206,0,0,0,0,0,0,6
169,218,206,218,206,0,0,0,0,0,0,6
170,230,206,230,206,0,0,0,0,0,0,6
171,242,206,242,206,0,0,0,0,0,0,6
172,254,206,254,206,0,0,0,0,0,0,6
173,266,206,266,206,0,0,0,0,0,0,6
174,278,206,278,206,0,0,0,30,182,61,6
175,290,206,290,206,0,0,0,29,181,60,6
176,302,206,302,206,0,0,0,29,181,60,6
177,314,206,314,206,0,0,0,29,181,60,6
178,326,206,326,206,0,0,0,29,181,60,6
179,338,206,338,206,0,0,0,29,181,60,6
180,110,218,110,218,0,0,0,29,181,60,6
181,122,218,122,218,0,0,0,29,181,60,6
182,134,218,134,218,0,0,0,29,181,60,6
183,146,218,146,218,0,0,0,29,181,60,6
184,158,218,158,218,0,0,0,29,181,60,6
185,170,218,170,218,0,0,0,29,181,60,6
186,182,218,182,218,0,0,0,0,0,0,6
187,194,218,194,218,0,0,0,0,0,0,6
188,206,218,206,218,0,0,0,0,0,1,6
189,218,218,218,218,0,0,0,0,0,1,6
190,230,218,230,218,0,0,0,0,0,1,6
191,242,218,242,218,0,0,0,0,0,1,6
192,254,218,254,218,0,0,0,0,0,0,6
193,266,218,266,218,0,0,0,0,0,0,6
194,278,218,278,218,0,0,0,30,182,61,6
195,290,218,290,218,0,0,0,29,181,60,6
196,302,218,302,218,0,0,0,29,181,60,6
197,314,218,314,218,0,0,0,29,181,60,6
198,326,218,326,218,0,0,0,29,181,60,6
199,338,218,338,218,0,0,0,29,181,60,6
200,110,230,110,230,0,0,0,29,181,60,6
201,122,230,122,230,0,0,0,29,181,60,6
202,134,230,134,230,0,0,0,29,181,60,6
203,146,230,146,230,0,0,0,29,181,60,6
204,158,230,158,230,0,0,0,29,181,60,6
205,170,230,170,230,0,0,0,29,181,60,6
206,182,230,182,230,0,0,0,0,0,0,6
207,194,230,194,230,0,0,0,0,0,0,6
208,206,230,206,230,0,0,0,29,181,60,6
209,218,230,218,230,0,0,0,29,181,60,6
210,230,230,230,230,0,0,0,29,181,60,6
211,242,230,242,230,0,0,0,29,181,60,6
212,254,230,254,230,0,0,0,0,0,0,6
213,266,230,266,230,0,0,0,0,0,0,6
214,278,230,278,230,0,0,0,30,182,61,6
215,290,230,290,230,0,0,0,29,181,60,6
216,302,230,302,230,0,0,0,29,181,60,6
217,314,230,314,230,0,0,0,29,181,60,6
218,326,230,326,230,0,0,0,29,181,60,6
219,338,230,338,230,0,0,0,29,181,60,6
220,110,242,110,242,0,0,0,29,181,60,6
221,122,242,122,242,0,0,0,29,181,60,6
222,134,242,134,242,0,0,0,29,181,60,6
223,146,242,146,242,0,0,0,29,181,60,6
224,158,242,158,242,0,0,0,29,181,60,6
225,170,242,170,242,0,0,0,29,181,60,6
226,182,242,182,242,0,0,0,0,0,0,6
227,194,242,194,242,0,0,0,0,0,0,6
228,206,242,206,242,0,0,0,29,181,60,6
229,218,242,218,242,0,0,0,29,181,60,6
230,230,242,230,242,0,0,0,29,181,60,6
231,242,242,242,242,0,0,0,29,181,60,6
232,254,242,254,242,0,0,0,0,0,0,6
233,266,242,266,242,0,0,0,0,0,0,6
234,278,242,278,242,0,0,0,30,182,61,6
235,290,242,290,242,0,0,0,29,181,60,6
236,302,242,302,242,0,0,0,29,181,60,6
237,314,242,314,242,0,0,0,29,181,60,6
238,326,242,326,242,0,0,0,29,181,60,6
239,338,242,338,242,0,0,0,29,181,60,6
